Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
81.5,394.00,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
81,393.00,0.001,8,1.575,0.05,2,0.0064,0.1,0.01,0.35
80.5,391.00,0.001,8,1.575,0.05,2,0.0064,0.1,0.01,0.35
80,389.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
79.5,387.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
79,386.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
78.5,384.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
78,382.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
77.5,381.00,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
77,379.00,0.001,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
76.5,377.00,0.001,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
76,374.00,0.01,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
75.5,373.00,0.001,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
75,370.00,0.01,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
74.5,368.00,0.001,10,0.15,0.03,2,0.0064,0.1,0.01,0.5
74,366.00,0.001,6,0.5,0.04,2,0.0064,0.1,0.01,0.35
73.5,364.00,0.001,6,0.5,0.04,2,0.0064,0.1,0.01,0.35
